title,directors,ratingValue,casts,cover,detailLink,year,types,countrys,lang,datePublished,movieTime,starsLen,stars,summary,imgList,movieUrl
肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,9.7,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗,吉尔·贝罗斯,马克·罗斯顿,詹姆斯·惠特摩,杰弗里·德曼,拉里·布兰登伯格,尼尔·吉恩托利,布赖恩·利比,大卫·普罗瓦尔,约瑟夫·劳格诺,祖德·塞克利拉,保罗·麦克兰尼,芮妮·布莱恩,阿方索·弗里曼,V·J·福斯特,弗兰克·梅德拉诺,马克·迈尔斯,尼尔·萨默斯,耐德·巴拉米,布赖恩·戴拉特,唐·麦克马纳斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/,1994,"剧情,犯罪",美国,英语,"1994-09-10(多伦多电影节),1994-10-14(美国)",142分钟,3034725,"85.8%,12.7%,1.3%,0.1%,0.1%",一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难 之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。,"https://img3.doubanio.com/view/photo/sqxs/public/p2635663142.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p456482220.jpg","https://movie.douban.com/trailer/259258/#content,https://movie.douban.com/video/106436/"
霸王别姬,陈凯歌,9.6,"张国荣,张丰毅,巩俐,葛优,英达,蒋雯丽,吴大维,吕齐,雷汉,尹治,马明威,费振翔,智一桐,李春,赵海龙,李丹,童弟,沈慧芬,黄斐,徐杰",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,https://movie.douban.com/subject/1291546/,1993,"剧情,爱情,同性","中国大陆,中国香港",汉语普通话,"1993-07-26(中国大陆),1993-01-01(中国香港)",171分钟,2243137,"82.5%,15.2%,1.9%,0.2%,0.2%",段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。,"https://img1.doubanio.com/view/photo/sqxs/public/p1665762739.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2581065129.jpg","https://movie.douban.com/trailer/239810/#content,https://movie.douban.com/video/105591/"
阿甘正传 Forrest Gump,罗伯特·泽米吉斯,9.5,"汤姆·汉克斯,罗宾·怀特,加里·辛尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德,海利·乔·奥斯蒙,迈克尔·康纳·亨弗里斯,哈罗德·G·赫瑟姆,山姆·安德森,伊俄涅·M·特雷奇,彼得·道博森,希芳·法隆,伊丽莎白·汉克斯,汉娜·豪尔,克里斯托弗·琼斯,罗布·兰德里,杰森·麦克奎尔,桑尼·施罗耶,艾德·戴维斯,丹尼尔C.斯瑞派克,大卫·布里斯宾,德博拉·麦克蒂尔,艾尔·哈林顿,阿非莫·奥米拉,约翰·沃德斯塔德,迈克尔·伯吉斯,埃里克·安德伍德,拜伦·明斯,斯蒂芬·布吉格沃特,约翰·威廉·高尔特,希拉里·沙普兰,伊莎贝尔·罗斯,理查德·达历山德罗,迪克·史迪威,迈克尔-杰斯,杰弗里·布莱克,瓦妮莎·罗斯,迪克·卡维特,马拉·苏查雷特扎,乔·阿拉斯奇,W·本森·泰瑞",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,https://movie.douban.com/subject/1292720/,1994,"剧情,爱情",美国,英语,"1994-06-23(洛杉矶首映),1994-07-06(美国)",142分钟,2261214,"77.1%,19.8%,2.7%,0.2%,0.1%",阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。,"https://img3.doubanio.com/view/photo/sqxs/public/p1484731332.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p1484731424.jpg","https://movie.douban.com/trailer/160000/#content,https://movie.douban.com/video/102593/"
泰坦尼克号 Titanic,詹姆斯·卡梅隆,9.5,"莱昂纳多·迪卡普里奥,凯特·温斯莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍,格劳瑞亚·斯图尔特,比尔·帕克斯顿,伯纳德·希尔,大卫·沃纳,维克多·加博,乔纳森·海德,苏茜·爱米斯,刘易斯·阿伯内西,尼古拉斯·卡斯柯恩,阿那托利·萨加洛维奇,丹尼·努齐,杰森·贝瑞,伊万·斯图尔特,艾恩·格拉法德,乔纳森·菲利普斯,马克·林赛·查普曼,理查德·格拉翰,保罗·布赖特威尔,艾瑞克·布里登,夏洛特·查顿,博纳德·福克斯,迈克尔·英塞恩,法妮·布雷特,马丁·贾维斯,罗莎琳·艾尔斯,罗切尔·罗斯,乔纳森·伊万斯-琼斯,西蒙·克雷恩,爱德华德·弗莱彻,斯科特·安德森,马丁·伊斯特,克雷格·凯利,格雷戈里·库克,利亚姆·图伊,詹姆斯·兰开斯特,艾尔莎·瑞雯,卢·帕尔特,泰瑞·佛瑞斯塔,凯文·德·拉·诺伊",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/,1997,"剧情,爱情,灾难","美国,墨西哥","英语,意大利语,德语,俄语","1998-04-03(中国大陆),2023-04-03(中国大陆重映),1997-11-01(东京电影节),1997-12-19(美国)",194分钟,2300406,"76.8%,20.0%,2.9%,0.2%,0.1%",1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。,"https://img1.doubanio.com/view/photo/sqxs/public/p457867960.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p457875621.jpg","https://movie.douban.com/trailer/302063/#content,https://movie.douban.com/video/102478/"
千与千寻 千と千尋の神隠し,宫崎骏,9.4,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男,玉井夕海,神木隆之介,内藤刚志,泽口靖子,我修院达也,大泉洋,小林郁夫,上条恒彦,小野武彦",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,https://movie.douban.com/subject/1291561/,2001,"剧情,动画,奇幻",日本,日语,"2019-06-21(中国大陆),2001-07-20(日本)",125分钟,2349390,"73.6%,22.8%,3.3%,0.2%,0.1%",千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。,"https://img9.doubanio.com/view/photo/sqxs/public/p2512318945.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2563777035.jpg","https://movie.douban.com/trailer/248761/#content,https://movie.douban.com/video/103510/"
这个杀手不太冷 Léon,吕克·贝松,9.4,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔,迈克尔·巴达鲁科,艾伦·格里尼,伊丽莎白·瑞根,卡尔·马图斯维奇,弗兰克·赛格,麦温,乔治·马丁,罗伯特·拉萨多,亚当·布斯奇,马里奥·托迪斯科,萨米·纳塞利",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/,1994,"剧情,动作,犯罪","法国,美国","英语,意大利语,法语","2024(中国大陆),1994-09-14(法国)",110分钟(剧场版),2387137,"73.3%,22.8%,3.4%,0.3%,0.2%",里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。,"https://img1.doubanio.com/view/photo/sqxs/public/p2581177788.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p511077583.jpg","https://movie.douban.com/trailer/274019/#content,https://movie.douban.com/video/100233/"
美丽人生 La vita è bella,罗伯托·贝尼尼,9.5,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克,玛丽萨·帕雷德斯,霍斯特·布赫霍尔茨,利迪娅·阿方西,朱利亚娜·洛约迪切,亚美利哥·丰塔尼,彼得·德·席尔瓦,弗朗西斯·古佐,拉法埃拉·莱博罗尼,克劳迪奥·阿方西,吉尔·巴罗尼,马西莫·比安奇,恩尼奥·孔萨尔维,吉安卡尔洛·科森蒂诺,阿伦·克雷格,汉尼斯·赫尔曼,弗兰科·梅斯科利尼,安东尼奥·普雷斯特,吉娜·诺维勒,理查德·塞梅尔,安德烈提多娜,迪尔克·范登贝格,奥梅罗·安东努蒂",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,https://movie.douban.com/subject/1292063/,1997,"剧情,喜剧,爱情,战争",意大利,"意大利语,德语,英语","2020-01-03(中国大陆),1997-12-20(意大利)",116分钟(国际版),1383733,"80.5%,16.9%,2.2%,0.2%,0.2%",犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。,"https://img1.doubanio.com/view/photo/sqxs/public/p2533776779.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p449686240.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p825922108.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2561718184.jpg",https://movie.douban.com/trailer/257449/#content
星际穿越 Interstellar,克里斯托弗·诺兰,9.4,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克,迈克尔·凯恩,马特·达蒙,提莫西·查拉梅,艾伦·伯斯汀,约翰·利思戈,韦斯·本特利,大卫·吉亚西,比尔·欧文,托弗·戈瑞斯,科莱特·沃夫,弗朗西斯·X.麦卡蒂,安德鲁·博尔巴,乔什·斯图沃特,莱雅·卡里恩斯,利亚姆·迪金森,杰夫·赫普内尔,伊莱耶斯·加贝尔,布鲁克·史密斯,大卫·奥伊罗,威廉姆·德瓦内,拉什·费加,格里芬·弗雷泽,弗洛拉·诺兰",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,https://movie.douban.com/subject/1889243/,2014,"剧情,科幻,冒险","美国,英国,加拿大",英语,"2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",169分钟,1966425,"75.5%,20.3%,3.7%,0.4%,0.2%",近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...,"https://img2.doubanio.com/view/photo/sqxs/public/p2208063011.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2211063036.jpg","https://movie.douban.com/trailer/263852/#content,https://movie.douban.com/video/100446/"
盗梦空间 Inception,克里斯托弗·诺兰,9.4,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,汤姆·哈迪,渡边谦,迪利普·劳,基里安·墨菲,汤姆·贝伦杰,玛丽昂·歌迪亚,皮特·波斯尔思韦特,迈克尔·凯恩,卢卡斯·哈斯,李太力,克莱尔·吉尔蕾,马格努斯·诺兰,泰勒·吉蕾,乔纳森·吉尔,水源士郎,冈本玉二,厄尔·卡梅伦,瑞恩·海沃德,米兰达·诺兰,拉什·费加,蒂姆·科勒赫,妲露拉·莱莉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/,2010,"剧情,科幻,悬疑,冒险","美国,英国","英语,日语,法语","2010-09-01(中国大陆),2020-08-28(中国大陆重映),2010-07-16(美国)",148分钟,2163521,"72.7%,23.5%,3.5%,0.2%,0.1%",道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层...,"https://img9.doubanio.com/view/photo/sqxs/public/p603273604.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p616902142.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2180955876.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p616883918.jpg",https://movie.douban.com/trailer/264451/#content
楚门的世界 The Truman Show,彼得·威尔,9.4,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,https://movie.douban.com/subject/1292064/,1998,"剧情,科幻",美国,英语,1998-06-05(美国),103分钟,1820216,"72.3%,24.2%,3.3%,0.2%,0.1%",楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。,"https://img9.doubanio.com/view/photo/sqxs/public/p764864325.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2614740719.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2614864522.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p1332031501.jpg",https://movie.douban.com/trailer/120999/#content
